func,change,data_kind,size,n_ms
merge,0,random,500,52833
merge,0,random,500,53209
merge,0,random,500,48208
merge,0,sorted,500,27333
merge,0,sorted,500,34458
merge,0,sorted,500,31042
merge,0,almost sorted,500,37708
merge,0,almost sorted,500,38667
merge,0,almost sorted,500,35458
merge,0,random,600,71166
merge,0,random,600,65959
merge,0,random,600,61709
merge,0,sorted,600,44000
merge,0,sorted,600,36041
merge,0,sorted,600,38542
merge,0,almost sorted,600,46333
merge,0,almost sorted,600,43792
merge,0,almost sorted,600,45334
merge,0,random,700,82417
merge,0,random,700,81750
merge,0,random,700,79041
merge,0,sorted,700,44375
merge,0,sorted,700,45458
merge,0,sorted,700,41834
merge,0,almost sorted,700,54791
merge,0,almost sorted,700,53333
merge,0,almost sorted,700,53292
merge,0,random,800,95667
merge,0,random,800,95791
merge,0,random,800,93625
merge,0,sorted,800,54625
merge,0,sorted,800,52000
merge,0,sorted,800,53042
merge,0,almost sorted,800,63666
merge,0,almost sorted,800,100500
merge,0,almost sorted,800,62458
merge,0,random,900,107834
merge,0,random,900,97875
merge,0,random,900,138708
merge,0,sorted,900,56416
merge,0,sorted,900,51875
merge,0,sorted,900,59292
merge,0,almost sorted,900,88167
merge,0,almost sorted,900,70333
merge,0,almost sorted,900,80084
merge,0,random,1000,164917
merge,0,random,1000,135291
merge,0,random,1000,133292
merge,0,sorted,1000,68292
merge,0,sorted,1000,70583
merge,0,sorted,1000,64000
merge,0,almost sorted,1000,80084
merge,0,almost sorted,1000,91708
merge,0,almost sorted,1000,84291
merge,0,random,1100,142375
merge,0,random,1100,135667
merge,0,random,1100,135334
merge,0,sorted,1100,72375
merge,0,sorted,1100,75125
merge,0,sorted,1100,74583
merge,0,almost sorted,1100,87542
merge,0,almost sorted,1100,85500
merge,0,almost sorted,1100,87292
merge,0,random,1200,173167
merge,0,random,1200,144417
merge,0,random,1200,144125
merge,0,sorted,1200,82000
merge,0,sorted,1200,79958
merge,0,sorted,1200,79833
merge,0,almost sorted,1200,100334
merge,0,almost sorted,1200,95875
merge,0,almost sorted,1200,101667
merge,0,random,1300,172000
merge,0,random,1300,161583
merge,0,random,1300,192333
merge,0,sorted,1300,93125
merge,0,sorted,1300,86792
merge,0,sorted,1300,95292
merge,0,almost sorted,1300,106917
merge,0,almost sorted,1300,129500
merge,0,almost sorted,1300,111083
merge,0,random,1400,171541
merge,0,random,1400,181750
merge,0,random,1400,166416
merge,0,sorted,1400,100000
merge,0,sorted,1400,99209
merge,0,sorted,1400,95417
merge,0,almost sorted,1400,120875
merge,0,almost sorted,1400,116917
merge,0,almost sorted,1400,113958
merge,0,random,1500,185875
merge,0,random,1500,214250
merge,0,random,1500,178416
merge,0,sorted,1500,122459
merge,0,sorted,1500,107916
merge,0,sorted,1500,107875
merge,0,almost sorted,1500,135666
merge,0,almost sorted,1500,123208
merge,0,almost sorted,1500,125542
merge,0,random,1600,185917
merge,0,random,1600,205791
merge,0,random,1600,201916
merge,0,sorted,1600,124000
merge,0,sorted,1600,112750
merge,0,sorted,1600,109000
merge,0,almost sorted,1600,134750
merge,0,almost sorted,1600,130959
merge,0,almost sorted,1600,120750
merge,0,random,1700,211459
merge,0,random,1700,209333
merge,0,random,1700,219334
merge,0,sorted,1700,116625
merge,0,sorted,1700,136208
merge,0,sorted,1700,117583
merge,0,almost sorted,1700,142959
merge,0,almost sorted,1700,149084
merge,0,almost sorted,1700,139083
merge,0,random,1800,227292
