data_kind,size,n_ms_introsort, n_ms_quick_sort
random,1000,260166,469083
random,1100,199959,383875
random,1200,220917,425166
random,1300,245000,408834
random,1400,227583,436500
random,1500,246834,438208
random,1600,244875,465708
random,1700,260750,675583
random,1800,392833,676708
random,1900,401958,720875
random,2000,445125,762209
random,2100,462375,748833
random,2200,418250,715959
random,2300,428084,741916
random,2400,329125,343250
random,2500,501750,823958
random,2600,717250,502334
random,2700,232292,752292
random,2800,448084,792500
random,2900,467042,809042
random,3000,338334,458334
random,3100,436542,755417
random,3200,452041,775791
random,3300,480958,805542
random,3400,480917,821625
random,3500,447834,760709
random,3600,464250,795041
random,3700,477708,813292
random,3800,487708,825125
random,3900,468292,794583
random,4000,479875,820458
random,4100,503084,841500
random,4200,502084,825292
random,4300,489500,853500
random,4400,507625,837000
random,4500,501417,856500
random,4600,505875,830916
random,4700,493000,883959
random,4800,514000,865500
random,4900,527375,900750
random,5000,511750,866667
random,5100,528209,872292
random,5200,527458,905625
random,5300,552625,890875
random,5400,530625,900167
random,5500,548458,909250
random,5600,541083,884916
random,5700,545375,924500
random,5800,564834,933917
random,5900,556750,895708
random,6000,557375,905083
random,6100,564958,936208
random,6200,565666,965125
random,6300,590166,959000
random,6400,574583,969041
random,6500,592667,970625
random,6600,579917,987209
random,6700,590292,987125
random,6800,593084,987750
random,6900,598000,977750
random,7000,611875,1025750
random,7100,616625,1008667
random,7200,633042,1050292
random,7300,654750,1066792
random,7400,650083,1086208
random,7500,671542,1112166
random,7600,667000,1117042
random,7700,680708,1143541
random,7800,691000,1142250
random,7900,701459,1154667
random,8000,725459,1195792
random,8100,720541,1184791
random,8200,721125,1211208
random,8300,755500,1241625
random,8400,743708,1264125
random,8500,772834,1250542
random,8600,773458,1263500
random,8700,800250,1272417
random,8800,794333,1323166
random,8900,792166,1321666
random,9000,795250,1335500
random,9100,827459,1341708
random,9200,828542,1389625
random,9300,826250,1403792
random,9400,885583,1397250
random,9500,850125,1428334
random,9600,882291,1459875
random,9700,882500,1454833
random,9800,872458,1473958
random,9900,894750,1473792
random,10000,929833,1463208
random,10100,900125,1497958
random,10200,938625,1566584
random,10300,948542,1542417
random,10400,943333,1556084
random,10500,951083,1588958
random,10600,978292,1573750
random,10700,982667,1603375
random,10800,1014542,1651750
random,10900,997083,1668500
random,11000,1011125,1646167
random,11100,1009625,1663041
random,11200,1025417,1661792
random,11300,1064584,1728917
random,11400,1156625,1850250
random,11500,1123500,1914416
random,11600,1231584,1738334
random,11700,1077208,1829208
random,11800,1114791,1809042
random,11900,1729750,1874208
random,12000,1130625,1788250
random,12100,1136542,1877042
random,12200,1201666,1982291
random,12300,1211708,1815417
random,12400,1079375,1883333
random,12500,1111792,1937000
random,12600,1159208,2008167
random,12700,1215042,1949750
random,12800,1079167,1913584
random,12900,1227959,1970209
random,13000,1263917,1970375
random,13100,1272000,2005833
random,13200,1310500,2016875
random,13300,1310000,2028250
random,13400,1348458,1929666
random,13500,1257958,1920834
random,13600,1258333,1988917
random,13700,1286042,2033958
random,13800,1284833,2225666
random,13900,1343875,2156584
random,14000,1335208,2153875
random,14100,1218083,2004208
random,14200,1308792,2207375
random,14300,1322792,2178542
random,14400,1322209,2168417
random,14500,1370916,2223541
random,14600,1339875,2213125
random,14700,1363667,2255459
random,14800,1380375,2235750
random,14900,1420167,2261125
random,15000,1450959,2264000
random,15100,1404833,2265125
random,15200,1412750,2341292
random,15300,1448750,2302458
random,15400,1508375,2372708
random,15500,1439375,2381708
random,15600,1483375,2389625
random,15700,1465834,2378917
random,15800,1500917,2392542
random,15900,1519750,2410625
random,16000,1477750,2431083
random,16100,1552625,2473917
random,16200,1535250,2473250
random,16300,1548250,2489708
random,16400,1547750,2525666
random,16500,1651375,2553041
random,16600,1513750,2487000
random,16700,1480625,2552208
random,16800,1576916,2649458
random,16900,1559125,2499625
random,17000,1699417,2643792
random,17100,1627750,2709000
random,17200,1701792,2734708
random,17300,1715750,2711833
random,17400,1723750,2691208
random,17500,1597916,2758667
random,17600,1546291,2719042
random,17700,1839709,2730541
random,17800,1723958,2873625
random,17900,1640333,2734958
random,18000,1823833,2843667
random,18100,1788084,2901125
random,18200,1612875,2725375
random,18300,1833708,2873916
random,18400,1792375,2943167
random,18500,1719750,2883042
random,18600,1754792,2972625
random,18700,1725833,2927750
random,18800,1770125,2944334
random,18900,1782000,2946666
random,19000,1789500,3049500
random,19100,1835709,2971750
random,19200,1928667,3001958
random,19300,1848208,3101250
random,19400,1876375,3062667
random,19500,1892125,3099541
random,19600,1900708,3133875
random,19700,1894875,3128417
random,19800,1931709,3133709
random,19900,1995542,3204708
random,20000,1955875,3195542
random,20100,1940208,3224708
random,20200,2039041,3329625
random,20300,2002500,3358208
random,20400,2030125,3213375
random,20500,2056541,3277834
random,20600,2076209,3348292
random,20700,2113750,3406375
random,20800,1859250,3295542
random,20900,1923833,3124042
random,21000,1978250,3234958
random,21100,2047959,3370792
random,21200,1919791,3284500
random,21300,2198250,3320583
random,21400,1998667,3146084
random,21500,2058083,3403750
random,21600,2093542,3502667
random,21700,2056209,3353042
random,21800,2175333,3435292
random,21900,2155958,3510833
random,22000,2209459,3448375
random,22100,2195958,3497125
random,22200,2239250,3440792
random,22300,2349209,3675583
random,22400,2208958,3551167
random,22500,2208667,3534084
random,22600,2246083,3585500
random,22700,2131834,3300375
random,22800,2152750,3483250
random,22900,2237958,3583667
random,23000,2245583,3646958
random,23100,2261250,3621792
random,23200,2348000,3640209
random,23300,2315125,3739125
random,23400,2305709,3952417
random,23500,2349583,3640459
random,23600,2247625,3743792
random,23700,2332584,3827167
random,23800,2416041,3867583
random,23900,2498166,3897333
random,24000,2372083,3702625
random,24100,2344875,3760208
random,24200,2452375,3967709
random,24300,2456167,3928500
random,24400,2485208,3931958
random,24500,2499583,3913209
random,24600,2526458,3941458
random,24700,2542583,3891917
random,24800,2461833,3737500
random,24900,2563542,3952167
random,25000,2482083,3995625
random,25100,2517291,3979666
random,25200,2505334,4046375
random,25300,2520417,4017334
random,25400,2499000,4057208
random,25500,2573917,4049084
random,25600,2564500,4092833
random,25700,2569042,4098958
random,25800,2562833,4107084
random,25900,2590417,4053417
random,26000,2574875,4157416
random,26100,2575791,4123333
random,26200,2641209,4305167
random,26300,2718917,4311458
random,26400,2653583,4313292
random,26500,2565875,4007875
random,26600,2678917,4524834
random,26700,2590042,4447375
random,26800,2709250,4440083
random,26900,2628542,4285541
random,27000,2775583,4436041
random,27100,2655834,4298709
random,27200,2663584,4362625
random,27300,2665375,4374708
random,27400,2743166,4444666
random,27500,2847875,4351167
random,27600,2768750,4444916
random,27700,2757333,4503084
random,27800,2795500,4522375
random,27900,2828459,4571042
random,28000,2823083,4552125
random,28100,2836250,4598459
random,28200,2836875,4599500
random,28300,2866208,4769416
random,28400,2880125,4680625
random,28500,2854709,4825667
random,28600,2954125,4731167
random,28700,2913958,4763917
random,28800,3013125,4801708
random,28900,3099000,4707334
random,29000,3003125,4402042
random,29100,3017458,4493125
random,29200,3111750,4763500
random,29300,2754125,4707584
random,29400,2853417,4597917
random,29500,2857167,4617084
random,29600,3001542,4803334
random,29700,2932500,4931292
random,29800,2830542,4799541
random,29900,3147625,4675208
