N,narrow_square,wide_square,true_value,narrow_error,wide_error
100,0.8875,0.874992,0.820557,0.0669431,0.0544354
600,0.933333,0.939806,0.820557,0.112776,0.11925
1100,0.936364,1.02524,0.820557,0.115807,0.204687
1600,0.93125,0.97829,0.820557,0.110693,0.157733
2100,0.933333,0.986102,0.820557,0.112776,0.165546
2600,0.932692,0.960996,0.820557,0.112135,0.140439
3100,0.945565,0.965941,0.820557,0.125008,0.145384
3600,0.942361,0.961411,0.820557,0.121804,0.140854
4100,0.940244,0.976956,0.820557,0.119687,0.156399
4600,0.94375,0.993349,0.820557,0.123193,0.172792
5100,0.944608,0.987464,0.820557,0.124051,0.166907
5600,0.942634,0.986102,0.820557,0.122077,0.165546
6100,0.942213,0.992933,0.820557,0.121656,0.172376
6600,0.942424,1.0002,0.820557,0.121867,0.179645
7100,0.94243,0.990015,0.820557,0.121873,0.169458
7600,0.940461,0.982447,0.820557,0.119904,0.161891
8100,0.940432,0.978215,0.820557,0.119875,0.157658
8600,0.938517,0.972214,0.820557,0.117961,0.151657
9100,0.939835,0.963667,0.820557,0.119278,0.14311
9600,0.938542,0.961074,0.820557,0.117985,0.140517
10100,0.940594,0.9597,0.820557,0.120037,0.139143
10600,0.939976,0.957539,0.820557,0.11942,0.136982
11100,0.939189,0.959076,0.820557,0.118632,0.138519
11600,0.940409,0.953775,0.820557,0.119853,0.133218
12100,0.939669,0.95534,0.820557,0.119113,0.134784
12600,0.939881,0.955238,0.820557,0.119324,0.134682
13100,0.939981,0.951433,0.820557,0.119424,0.130877
13600,0.93989,0.952912,0.820557,0.119333,0.132355
14100,0.942021,0.957734,0.820557,0.121464,0.137177
14600,0.941866,0.960227,0.820557,0.12131,0.139671
15100,0.941887,0.961268,0.820557,0.121331,0.140711
15600,0.940064,0.958503,0.820557,0.119507,0.137946
16100,0.94014,0.962552,0.820557,0.119583,0.141995
16600,0.940136,0.965771,0.820557,0.119579,0.145214
17100,0.939839,0.96596,0.820557,0.119282,0.145403
17600,0.939702,0.966137,0.820557,0.119145,0.14558
18100,0.939986,0.966842,0.820557,0.119429,0.146285
18600,0.940591,0.964373,0.820557,0.120035,0.143816
19100,0.941427,0.966614,0.820557,0.12087,0.146058
19600,0.941327,0.963285,0.820557,0.12077,0.142728
20100,0.941231,0.959154,0.820557,0.120674,0.138597
20600,0.942051,0.961359,0.820557,0.121494,0.140802
21100,0.94295,0.959312,0.820557,0.122393,0.138755
21600,0.942882,0.960061,0.820557,0.122325,0.139504
22100,0.943043,0.960776,0.820557,0.122486,0.140219
22600,0.942644,0.956727,0.820557,0.122087,0.13617
23100,0.942911,0.958325,0.820557,0.122354,0.137768
23600,0.942055,0.959443,0.820557,0.121498,0.138886
24100,0.941857,0.960515,0.820557,0.1213,0.139958
24600,0.941362,0.9568,0.820557,0.120805,0.136244
25100,0.941932,0.956333,0.820557,0.121375,0.135776
25600,0.941748,0.958162,0.820557,0.121191,0.137605
26100,0.941523,0.954706,0.820557,0.120966,0.134149
26600,0.941259,0.951746,0.820557,0.120703,0.131189
27100,0.941282,0.956429,0.820557,0.120725,0.135872
27600,0.941033,0.954953,0.820557,0.120476,0.134396
28100,0.941548,0.95526,0.820557,0.120991,0.134704
28600,0.941827,0.952157,0.820557,0.12127,0.131601
